,Tweet
279,"I was apolitical but I started supporting Imran Khan after PDM stopped Sehat Card and politicized it.

Do you remember such tweets?
I hope now they will become apolitical again"
280,@afnanullahkh Photo shoot ke liye gaya tha. Sehat card band kar key atta diya kya everest mountain ka kaam kiya lahntiyio.
281,"Pti Supporters supporting Imran Khan for Sehat Card, Shelter homes...
Pml-N supporters supporting Shehbaz Sharif for free Flour 
Such kind of Idiot nation we are
We don't need free things, we need jobs, we need free education, we need good infrastructure
L Nation L Leaders"
282,@ShazaFK How many benefitted from Sehat card in PMLN era? Can you plz quote some numbers?
283,"but but but, Sehat Card launched by PTI for the first time ever 😂

the problem with telling lies is that you have to always remeber them what you had told 😂

#PTIOfficial 
#TalibanKhan 
#ImranKhan"
284,"@Non_graata That’s the problem, precisely what elites think, IK didn’t provide any luxury to their already luxurious lives. They wouldn’t utter a word upon لنگڑ خانے، پناہ گاہ and the most incredible Sehat Card as it only benefits the poor families."
285,"@draffanqaiser bohat zabaradast Project hain yeh Imran khan ka, main nay aur almost meray 5 releatives nay sehat card par ilaj krwaya.. abh 3 din phlay b call aai thi feedback k liy.."
286,@SajidFb @CMShehbaz @NawazSharifMNS Tum sy tatti dulwa ky tumhy paisy nhi deta nawZ sharif or sehat card dy ga vo. Lanat tum tattpunjiye pai or lory nawaz sharif pao
287,@Huz_KN We are talking about how pti supporters think sehat card is a IK thing when it's a bureaucratic policy adopted at provincial level by pti and on federal level by Pmln
288,@Suri78866334 @syed_bacha @WaqarYousafzai9 10 sall phele jis ki gov thi tab ese line me khare ni hona parta onko 12000 milte jis ki gov thi sehat card tha treatment ke sat ghr Jane ke pese milte the jis ki gov tab bhok lagti tu langar khana jkr aram se izzat Waqar ke sat khana milta pana gha me sone ko milta tha or btoun
289,@Muhamma31718728 @GovtofPakistan Corruption started by nawaz sharif and made his own properties kindly take the feedback from the people who were taking benefit from sehat card and panah gah facilities please
290,"@thearcherr_ My relatives got an eye surgery done on sehat card, they even called him and inquired about how he was treated by the hospital."
291,@Aadiiroy2 ghatiya admi jhoty sehat card pr b apni pic lagwa li
292,"@TalhaAs28755300 @stenopost @Shehzad89 Chacha jaan, thank you for sharing these facts. 

This is about the health/sehat cards; formally launched by the federal government in Jan 1016 and by the KPK government (Sehat Insaf card) in Sept that year"
293,To those PTI followers jin ko lgta sehat card IK ny he launch kiya bs.😅
294,Sehat card idea was stolen 4m Wasila-e-Sehat initiative of Benazir Income Support Program. Pilot project was started in Faisalabad during PPP era.Later PMLN and PTI used BISP data for this program in their respective govts in federal &amp; KP. PPP dropped the scheme bcaz of its flaws
295,@Ha1d3r1 @stenopost @Shehzad89 PTI launched it in 2015 gadhay and PMLN launched this only in federal aur Kisi ko pta b nhi Hota tha aj Khan ki waja se 35 million people are using sehat card
296,"Youthya: Sehat Health Card PTI ka Project hai

Le IK before Becoming PM 👇 #PTI #ImranKhan #NawazSharif https://t.co/dsmXcGwchv"
297,@ozilinaa Sehat card is a knock off from PMLs health card you or your party never had an original idea ever. As far as your knock off idea is concerned it’s been found to@be highly corrupt whereas private hospitals have inflated bills and the provincial govt had to foot them.
298,@ShazaFK @ImranKhanPTI MashaAllah! 200 rupay daily wage walo k liye.. vo tou maryam nawaz he hai sirf jo apnay walid k sth rehti hai..aap k sehat card aur pti k sehat card mai itna he farq hai jitna jitna aap k leader aur pti k leader ki education mai
299,"Youthya: Sehat Card PTI ka Project hai
Le IK before Becoming PM 👇 https://t.co/40jImWPNQQ"
300,"@teepusahab It shows how little you read. PTI sehat card is totally different concept. You should educate yourself first. If not, don't comment at all."
301,@Jhagra 10 kg floor finishes in 2 days. Sehat card is for ever.
302,@ImranKhanPTI The same Sehat Card PTI claims to be it's brainchild. @ImranKhanPTI
303,Then they say that the sehat card was not part of PMLn initiative..
304,@teepusahab You do realize that sehat card was first started from KPK in 2015?? https://t.co/fILgUsBQYq
305,@ImranKhanPTI Sehat card was first of all started by NS and PMLN government
306,Acceptance by IK Sehat Card was introduced by NS.
307,"Free Sehat Card se Free Athe tk ka Safar
#InquilabZindabad
#چلو_چلو_مینار_پاکستان_چلو https://t.co/IHcyCGSaRk"
308,@thatsadshamyl @Akhwandzada1 KPK Sehat card was launched long before this gimmick in Punjab which was never practically rolled out
309,"@ImranKhanPTI @OwaisSiddiki Mamu, yeh wohi Sehat Card hai Jo bad mai kisi aur naam say launch hua tha? Asking for my knowledge 🤔"
310,"From sehat card and panahgaas to this within in a year, mighty fall"
311,@faiky2 @Gurdasia1 @SajidFb I already said k media advertising nhi proof dena is trhn to free fuel scheme crime minister ny strt ki just files tk hai. Media advertising show na krwayn show me some documents I myself had an operation on sehat card
312,"Typical PMLN game, create a dire situtation, claim a solution, build a highway.

Come on, Pakistani people are not that stupid PDM fascists.

@ImranKhanPTI @PTIofficial provided growth, healthy economy,  covid protection, sehat card to all, education, tourism &amp; much more"
313,"@shami_chaudhry1 @TaibaBhatti4 @ShazaFK @ImranKhanPTI Sehat Card was repeatedly launched by PMLN to give ads to media houses. It never existed on ground and there are no wide-scale documentation of the beneficiaries. There was no road map, list of hospitals, nation-wide coverage etc."
314,Insaf Sehat Card? 🙄
315,"@ShahabJehangiri True it was just for low income families with a small amount of money .......
But the sehat insaaf card issued by Pti gov is some thing  else of which PMLN can never think to produce ......shame on all those patwaries spreading false propaganda .....shame!"
316,"@TaibaBhatti4 @noirroad @ShazaFK @ImranKhanPTI Baat hamesha daleel sa kartay aur proofs k sath cheez wo share karty jiska ilam ho 
mein yahan kesi ko pretend nae kr rha 

😂 Hahaha Oper nawaz ka sehat card aur neechy who ki recommendations open kr k share krdi crop karna b bhool gaye"
317,Liars &amp; dishonest ppl acting as wokiyas would tell u that sehat card was a brainchild of Nalaiq league but won’t tell u that it was originally the brainchild of Imran Khan &amp; started in KPK in 2015. N league adopted this model in 2018 by adjusting ppl registered in benazir scheme.
318,@TaibaBhatti4 @ShazaFK @ImranKhanPTI Sehat card  ya rha  jo ap ma open kia wo WHO ki recommendations pa UHC program tha wo sehat card kaha sa agya lols https://t.co/OTwNnGbIX9
319,"@TaibaBhatti4 @noirroad @ShazaFK @ImranKhanPTI Kam aqal women apni SS ka oper 🤣🤣🤣 parh lo sehat card aur UHC MEIN KIA fark 

kaha sa parh k aye ho ap?"
320,@shami_chaudhry1 @noirroad @ShazaFK @ImranKhanPTI Mtlb ap khna chahty ap ko 2016 me sehat Card milta tha?
321,"I remember posting something similar about sehat card in 2021-2022 when Immi Boy was PM and every single PTI supporters posted the long list of positives about it.
Aik tu yeh Khan sb ki old tweets🥺"
322,@ImranKhanPTI Thanks for admitting that sehat card was PMLNs brainchild 😂
323,@Gurdasia1 @BalajTayyab @SajidFb And Imran Khan himself accept that sehat card is PMLN Project https://t.co/nrWsEMSuvz
324,"PMLN's Sehat Card was launched so many times with numerous advertisements given to different media papers.

It never existed in real with no records of who benefited from it. It was just for the sake of fake ads &amp; fake political competition."
325,"@Gurdasia1 @BalajTayyab @SajidFb My only point is yeh sehat card pti ka project nahi tha

Pti just copy pasted their name and logo on PMLN Project"
326,@noirroad @TaibaBhatti4 @ShazaFK @ImranKhanPTI Jbh Wo bad mein ata ap na jis jazbay k sath pic share ki jahil patwari bola us bat ko sabit kro ya sehat card kis ka launch kia hua bat ya ho rhy brother baqi bad mein ata ha kon kis na kis na nai beshak wo 0% b na ho bad mein Ik 100% kia  eski bat nae ho ry thi bro
327,"@KhTalha70 Mera claim jhoota nahin howa. PMLN's Sehat Card was not a nation wide insurance scheme and did not cover private hospitals. It was PTI's work that made it working.

Stats par baat hogi to pata chal jaye ga keh PMLN kay card say kisi nay ilaj nahin karwaya, sab drama tha."
328,@ExpressNewsPK 10 lac ka sehat card band badly main 10 kilo ata le lo
329,"@shami_chaudhry1 @TaibaBhatti4 @ShazaFK @ImranKhanPTI Nawaz Sharif's Sehat Card was like Benazir income support program. It did not cover every citizen, PTI made the Sehat Card which covered every citizen and also private hospitals."
330,"@Azharhu1 @malik_tayyab1 
Sehat card ki haqeeqat"
331,@Aadiiroy2 I understand it livelihood is on lpml n n such ridiculous tweets u have no morals ...ten people died in atta queues ur party treat poor like a colonial left over shudars ..frm ten lac sehat card to flour bag
332,"@noirroad Hahahaha tera claim jhoota sabit hogya ke sehat card Imran ne diya tha
Ab stats pr agaya ha 😂😂"
333,@noirroad @TaibaBhatti4 @ShazaFK @ImranKhanPTI Mein name b deta hon sab deta phly ap ya mano ya sehat card launch kis na kraya tha
334,"@shami_chaudhry1 @TaibaBhatti4 @ShazaFK @ImranKhanPTI Punjab mein logon ko Sehat Card kab milna shuru howay? PTI made it running and made it for all citizens.

Teray pass yeh jawab nahin keh kon kon covered that aur asal kaam kis nay kiya hay. Name a few hospitals which were covered in PMLN's project."
335,Sehat card kis ne start Kiya tha sun daikh lain imrando qoum
336,@KhTalha70 Teray pass stats hain keh PMLN Sehat Card say kitnay patients nay ilaj karwaya aur kis kis ko mila?
337,@noirroad @TaibaBhatti4 @ShazaFK @ImranKhanPTI Mama SEHAT card 2016 jan mein Nawaz sharif na launch kia tha sep mein KPK mein aya konsay model tyar kr rhy ajeeb youthia ho pic aesay sher ki thi leader ki trha jesy sachy bd mein a k stats pa agy lols
338,"@shami_chaudhry1 @TaibaBhatti4 @ShazaFK @ImranKhanPTI Sehat Card was properly implemented by PTI, PMLN was just making ads.

Baqi jo sochna hay socho, KPK was the first to make a proper model."
339,@noirroad @TaibaBhatti4 @ShazaFK @ImranKhanPTI phly ya btao siyasat jo sehat card pa kar rhy pti wo galt ha mano ya PTI ka project nae ha copy pasted ha
340,"@noirroad @TaibaBhatti4 @ShazaFK @ImranKhanPTI Jab 😂 Bat sabit nae hui geedar ka reply kr k uper sa neechy copy mardia youthia logic

Ya sehat card pa islamic touch deinay sa phly socha  kro aur rahy bat  benefit ap jesy wohi log hein Motorwaya pa safar krny k bad bolty sakoon agya"
341,"@shami_chaudhry1 @TaibaBhatti4 @ShazaFK @ImranKhanPTI Jahil Patwari, bata nah keh kitnay hospitals aur kitnay citizens covered thay? Kisi Pakistani nay aajtak PMLN Sehat Card pr Ilaj karwaya bhi tha ya nahin?

Present stats."
342,"@noirroad @TaibaBhatti4 @ShazaFK @ImranKhanPTI youthia jahil 
ya parho 

Aur usk bad Jo uper tweet uska urdu mein mtlb b parho Geedar na leikha kia hua sehat card k baray mein https://t.co/T6U3NSpncH"
343,@mkhankhakwani Agree but making it more profitable for private hospitals &amp; inflating their own accounts by billing sub standard medicines &amp; fake operations credit must be given to @PTIofficial #SehatCard funds are now held due to unbridled corruption by hsptls in collaboration of #PTI officials
344,There's always a tweet but this one is special cause IK admits that Sehat Card was a brainchild of PMLN.
345,For pti supporters who say sehat card was launched by imran khan...
346,"KPK launched Sehat Card in 2016 when PTI was in government there.

So what comes first? PTI's 2016 Sehat Card or PMLN's 2018 Sehat Card.

It's not a difficult question. https://t.co/YYmMw2lfIl"
347,@pmln_org Frm sehat card to atta distribution nine people just died ...ya Allah help us get rid of these corrupt criminals
348,Lmfao youthias only flex that their leader introduced sehat card is over 🤣🤣🤣
349,@ShazaFK @ImranKhanPTI Lolll so why Maryam said that close Sehat Card its the only thing Imran have and how come the whole population of KPK had this facility before even one percent of Punjab had it?
350,@MuhammadASafdar @Shehzad89 This is a lie. Sehat card was based on an updated database and developed from scratch by @SaniaNishtar (after being launched in KPK first). Now you guys will say PMLN was responsible for 1992 WC win too because Nawaz thought of it first... 😆
351,"@Alikhanyzai If by "" sehat card"" you mean health insurance for poor with premium paid by government, this was first started by PPP govt in 2010-11 for BISP beneficiaries, in Faisalabad. This was followed by a scheme designed during PPP/ANP govt in 2011, with services started in 2015."
352,Why Y'all crying so loud? Sehat card was first introduced by the KP government in 2015. Rona banddd kareinnn + this was valid for a particular segment of society IK made everyone eligible 🥱
353,@koorakarkat @Jhagra Mara induction khabare khatme d its been 3.5 years.  Kho pa 9 years k mong ta serf darog waile d. They haven't done anything significant except sehat card which I accept is a good initiative
354,@MaryamNSharif Sehat card kider ha bibib? Muft aata k naam p jo gandi syadat krr eh wo b pta ha.
355,"@shami_chaudhry1 @ImranKhanPTI O bahir KPK me phly start hua tha
PHR anwaz ne announcement ki thi bt bus announcement e ki thi jaisy 100 unit p bijli free aur rikshah walon ko 100 Sasta petrol ka ilan hua
Acha ap btao
2017 me ap ko Sehat card facility milti thi?"
356,@ImranKhanPTI @TaibaBhatti4  sehat card kiska tha🤣🤣🤣
357,"Lolll
So then after lying for years youre saying sehat card was a PMLN project?  @ImranKhanPTI"
358,"@ImranKhanPTI was a big criminal that he gave sehat card (health insurance) to poor and underprivileged people with a limit of Rs 10 lakh. Yes, he deserved to be overthrown from power because he challenged the monopolists!

#جلسہ_نہیں_ریفرینڈم_ہے 
@TeamFOIK__ https://t.co/Lrk5YeHnoy"
359,@Aahsann apny leader ki ee man lu. sehat card nawaz shareef ny start kiya.
360,"@geminiworld_nt Done kakk, terima kasih udah ngadain GA nyaa.. pengen banget card holder gemini, biar pcnya nanti punya rumah hehee.. thank youu, sukses terus dan sehat selaluu ✨✨"
361,"From free healthcare thru #SehatCard Ehsaas programs, Shelter homes for poor  to un-ending lines for aata, #Pakistan is going downhill at rocket speed. Those responsible for this are shamelessly Silent meanwhile they're screaming at Imran Khan for Inflation in his time. Hypocrite"
362,"Jhutay fitnay corrupt nashayee sehat card py date daikh , teri selection k waqt yehe card chalta tha jus ka tm ab credit lety ho"
363,"From free healthcare thru #SehatCard Ehsaas programs, Shelter homes for poor  to un-ending lines for aata, #Pakistan is going downhill at rocket speed. Those responsible for this treachery will face the music sooner or later IA.
@PTIofficial 
#حقیقی_آزادی_جلسہ"
364,@MaryamNSharif 10 lakh sehat card se lakar atte tak ka safa SIRF luch maheno mai
365,@NaeemDrigh M imran khan ko pichly 4 saal say support kr raha hn or imran khan ko support krny ki bohot sari wujuhat haa jis m mujay any waly kl k leye sehat sahulat card faraham kiya gaya jis say m kbi bi kisi hospital m bagair kisi hichkichahat k apny or apny azeez o akarab k ilaz krwa skt
366,"@ImranKhanPTI So Sehat Card was Nawaz Sharif’s initiative, You’re Exposed 🤡"
367,"From Sehat Card, Panagahs, Ehsas 'koi bhuka nhi soye ga' programme to ppl dying for flour -in just one year.

Thankyou Pdm and it's handlers. Tabahi ki tarf ye safr jari rhy ga."
368,"@Haroon4912 Ehsas program, sehat card, youth qrza scheme , ahsas rashan program, panahgah , 
ye sub program hain jo khan sb ny start kiye corona ko hoty hoye b....aqal na ho to mojen he mojen tm jaison ki"
369,"Sehat Card story in 9 minutes.
Origins. Reinvention as Universal Health Insurance. Impact. Challenges. The future. And proof that transformative change can only be politically led.

Full segment:
https://t.co/NLmqaQf9yT

Full interview with @hoflolz:
https://t.co/NUcD01XWO5 https://t.co/ZWrs3WEquq"
370,Pakistan Sehat Card first introduced by PMLN ✅
371,Sehat Card.
372,@fahimyousafzai Sehat card was introduced by PTI in 2015 in KP. NZ did it in 2016.
373,Imran khan denouncing Sehat Card bearing nawaz sharif name to later naming it after his party and making it PTI party coloured. Classic Chutzpah.
374,"So, Sehat Card is whose brainchild?"
375,Sehat card sey baat aik boree aatay par aa gaee#مفت_آٹا_سستا_پٹرول
376,"@siscaaleehz happy birthday kak renjun🎂🥳
sehat selalu, sukses selalu dan bahagia selalu💗 i also hope that your wishes this year will come true, many will love you and more will support you🩷 love u kak renjun 🦊💗
wmlwml mau renjun birthday card🙇🏽‍♀️

#HAPPYRENJUNDAY
#Golden323RenjunDay https://t.co/lzFxixcykg"
377,Oh Sehat card was PTI project right?
378,@hinaparvezbutt sehat card kyu khatam kiya mian nay. or baki jo mehnga kiya ahy oss ka tu hissab he nahi
379,@Jhagra @ImranKhanPTI Your a liar baldy that sehat card was to benefit private hospitals. The hospitals which were owned by your corrupt supporters.
380,"Thank you for your Hard work FM @BBhuttoZardari, we don’t need sehat card scam. https://t.co/RSJFrhtasM"
381,@wajih_sani Bhai tere dimagi halat theek nahi lagte sehat card se kese ache se mental hospital me apna elaaj karwao
382,10 lac on Sehat card per person to getting killed in flour distribution lanes
383,"@MaryamNSharif Haha. 😂😂
How non sense u r...
10lakh k sehat card se muft atay tk ka safar(jis me 7 lig pehle h foat Hu Gaye hn)"
384,"Imran khan is doing so much for us from day 1. Every time he made his country proud, wo kiya jo aj tak koi ja kar saka, “World Cup, SKMCH, Namal university, another SKMCH, Sehat card, Koi bhoka na soye, ahsas program and MANY MORE, Imran khan words are not enough to thank you."
385,"@MaryamNSharif From 10 lac sehat card to 10 Kg flour bag... Only PMLN can celebrate this. Wo ziada parhe likhe bhi nahi Hein, shaoor bhi nahi he 😔"
386,"Ehsas program ky baad Behisi Program
Koi Bhoka na Soye ky Baad sub Mout ki neend Soo Jayo
Rozgar Program ky baad Aghwa Program
Azadi ky baad Ghulami
Sehat Card ky baad Nanga karo program
Etc etc etc 😭 https://t.co/MuWUVCMuyl"
387,"@MaryamNSharif Likin ye hukumat tu tumhari nahi thi... Wese Patwario ki bhi kit kutti zindagi hai, last year 12hazar ehsaas program aur 10lac ke sehat card per tanqeed ker rahe thay ab aatay ki line mei lag ker zaleel horahe hain..."
388,"Or Jo atta lety mar gye
Shokiyaa Mary hon gyn hna

Logo ne 10 10 lakh ka ilaj krwaua sehat card se us ki tareef kro to moot ati hia na
10 kg k aty ko ayse bta rhy k inqalab a gya"
389,@Yousufhussaini9 @AqeelAltaf01 @iqrarulhassan Bahi jan hum sirf tanked nhi krty jo acha kam hota ha appreciate b krty hn.jasy sehat card or tourism baki ma KP ma rehta ho. pervaiz khattak ka dor niazi or mehmood k dor sa lakh darja bater tha jis ma sehat or school per bohat kam howa tha jis ke waja sa KP na dubara vote deya
390,"Shameless NRO peoples are killing the poor Nation,
They were never sincere with us.
Imran Khan was giving sehat Card, ehsas program, lunger Khana etc. https://t.co/XMzu9az63T"
391,@Yousufhussaini9 @AqeelAltaf01 @iqrarulhassan in jobs saay palay jo berozgar howay un ka b palay batawo.... un berozgaro ko nikalo to p[echay kia bachta ha... asi batan cjhoro asai  batan PMLN walay b bohat karty thy.. koi asa kam batawo jo nazr ata ho saway sehat card ke
392,"@Qamarcheema Khan was handing them Health Treatment worth Rs. 1.0 million thru Sehat Card...

Now, the public is dying for few Kgs of Wheat, what an injustice done by Bajwa &amp; Co with this country....

Despite blunders/ mistakes Khan was and is million times better than sittings crooks !!!"
393,"@MaryamNSharif @MIshaqDar50 is a master in figure fudging.
We exactly know economics behind these flawed optics,cost our economy more than relief to deserving.
Ur audio leak on revocation of SehatCard is still vivid in our memories,best thing happened to ppl,became victim of ur sleazy politics."
394,"@HamzaAzhrSalam You bet. Nobody can beat his Ehsaas Programs...sehat card...etc... 
There was zero loadshedding in his govt. E-commerce was budding..."
395,@MaryamNSharif Chacha hi n bhtiji k khny p sehat card kio bnd krdia?????
396,Qurban jae khan pr kaptan pr shuakat khanum hospital k banane wale pr sehat card hamay dene wale par aur hamay shaoor denay walay pr aur b bht sari achievements hay kia kia likhu https://t.co/dCueoAt2Cv
397,@MaryamNSharif 1000000 lakh rupay sehat card or 12000 gareeb awam ko diye hwe thy imran khan ny or 1 muft aty ka thela da kr ahsan kr rahy o wo bi logo ki jany chali jati hn lines ma lag lag kr sharam kr lo kuch to khuda ko jan dani hai udr ja kr gareeb awam pakry gi tm sub ko galy sa
398,"@pmln_org 10lac sehat card se lekar 10kg flour tak ka safar.
Jab se new govt ai haii rupees strong hoa haii hum kuch naii bhooly hain or na bhoolny den gy"
399,"@MaryamNSharif 10,00,000 Free Sehat Card se … 10kilo free atay tk ka kamyab safar … 😂😂😂"
400,@MaryamNSharif Sehat card band kr dea tum logo ne
401,"A poor woman in our neighbourhood had a spinal operation.Doctors asked 5 lac. I suggested Sehat Card but they said it is not available now(due to govt. change).
This PDM has done nothing except drowing Pakistan.
Logon sy jeeny ka haq cheen liya hai."
402,"@MaryamNSharif 10 lakh ka sehat card cancel
10 kilo aat dey k awaam ko bewqoof bna rhi ho naani"
403,@MaryamNSharif Ha ji sehat card khatm kar k bikari bana deya logo
404,Miley ga magar jaan deney ke baad! #مفت_آٹا_سستا_پٹرول Never forget @MaryamNSharif is the same vile woman who ordered 'sehat card' be snatched away from the sick &amp; poor of Pakistan..
405,@MaryamNSharif Mashallah. Sehat card se shorow huay thy attay ki linon mei laga dia hy awam ko jahil or begharat hukmaraon ne or ek adad lumari ne
406,"In case of any guidance or Complaints regarding the SEHAT CARD, please contact the TOLL-FREE Number 0800-09009.

#phimcpk #SehatCard https://t.co/9Ahrmp7ThD"
407,"From @ImranKhanPTI's Sehat Card saving millions of lives, to an ill conceived atta subsidy humiliating thousands &amp; that has already cost 6 lives across KP and Punjab, the fall has been sharp and deep."
408,"صحت کارڈ کے حوالے سے تمام تر معلومات، اپنی اہلیت اور ہسپتالوں کی تفصیلات وغیرہ جاننے کے لیے ""صحت کارڈ"" کی ایپ ڈاؤن لوڈ کریں۔

Android: https://t.co/hSlISayDZB
iOS: https://t.co/JKVxtDUo9C

#phimcpk #SehatCard https://t.co/XNWnKSkSFP"
409,@Jhagra @ImranKhanPTI Sehat Card has made treatment easy for poor masses https://t.co/FTTYDWGMR7
410,"𝗦𝗠𝗦 𝘆𝗼𝘂𝗿 𝗻𝗮𝘁𝗶𝗼𝗻𝗮𝗹 𝗶𝗱𝗲𝗻𝘁𝗶𝘁𝘆 𝗰𝗮𝗿𝗱 𝗻𝘂𝗺𝗯𝗲𝗿 𝘁𝗼 𝟴𝟱𝟬𝟬 𝗮𝗻𝗱 𝗰𝗵𝗲𝗰𝗸 𝘆𝗼𝘂𝗿 𝗲𝗹𝗶𝗴𝗶𝗯𝗶𝗹𝗶𝘁𝘆 𝙛𝙤𝙧 𝑺𝒆𝒉𝒂𝒕 𝗰𝗮𝗿𝗱 .

#phimcpk #SehatCard https://t.co/UbKKBS6tts"
411,"@Jhagra @khan_ka_sher @ImranKhanPTI Pti must sent volunteers on these locations&amp; educate people to stand up in unity to fight these thugs! They must understand the stakes,sehat card,free education,house loans etc! I just don't get this slavery"
412,"@SyedIHusain @murtazawahab1 @MaleehaManzoor @SukhdevHemnanii ilaaj nahi, tazleel ho rhe hai aam awam ki.. kisi minister ko dekha hai ap ne karachi k kisi hospital mai ilaaj krwaty hue ? jab wo nahi krwa skty hamay q keh rhe hain.. hamay #sehatCard de dy hum behtreen hospital sy krwa ly  ilaaj."
413,@BalajTayyab @SajidFb G bilkul jaisy Sehat card aur Income support program ka credit PTI leti hy
414,"صحت کارڈ کے تحت علاج کی بلا تعطل اور بر وقت فراہمی کے لئے خاندان کے تمام افراد کے کوائف کانادرامیں درست اور مکمل اندراج ضروری ہے۔

#phimcpk #SehatCard https://t.co/fqnbrB4Cae"
415,"آپ کا قومی شناختی کارڈ ہی آپ کا صحت کارڈ ہے تاہم یہ سہولت خاندان کے سربراہ کے قومی شناختی کارڈ پر دستیاب ہوگی، جس کے تحت خاندان کا سربراہ، اسکی شریکِ حیات اور غیر شادی شدہ بچے،منتخب سرکاری و نجی ہسپتالوں میں داخلے کی صورت میں،علاج کی سہولت حاصل کر سکتے ہیں۔

#phimcpk #SehatCard https://t.co/axhMVvIPKY"
416,"From @ImranKhanPTI's Sehat Card saving millions of lives, to an ill conceived atta subsidy humiliating thousands &amp; that has already cost 6 lives across KP and Punjab, the fall has been sharp and deep. https://t.co/SbMmEDXiRZ"
417,"صحت کارڈ پر حمل و زچگی کی سہولیات حاصل کرنے کے لیے شادی شدہ افراد NADRA میں اپنا ریکارڈ اپڈیٹ ضرور کروائیں اور اس بات کو یقینی بنائیں کہ شوہر اور بیوی کا ریکارڈ ایک دوسرے کے ساتھ منسلک ہو

@PSHDept @SHCMEHealth @PHC_Punjab @NadraPak 

#phimcpk #SehatCard #punjab https://t.co/KacUBWz9If"
418,"@Engr_Nadeem29 Bewaqoof tha Khan ,yeh qaoum isi qabil hy Jo ab ho rha hy ,woh awie sehat card ,langar khane ,panahgah bnaata rha"
419,@fawadchaudhry Baighairton nae 10 lakh ka sehat card bund karkae jo izzat sae mil raha thaa bae izzati ka 10 kilo aata dia  hae lanat inki shaklon par
420,"صحت کارڈ کے تحت علاج کی بلا تعطل اور بر وقت فراہمی کے لئے خاندان کے تمام افراد کے کوائف کانادرامیں درست  اور مکمل اندراج ضروری ہے۔

@PSHDept @SHCMEHealth @PHC_Punjab @NadraPak 

#phimcpk #SehatCard #punjab https://t.co/dzRrLbgydX"
421,"List of empaneled hospitals of Hangu providing health care services under the Sehat Card Plus Program. (As of March 2023)

Follow the bellow link to see all Empaneled Hospitals of Khyber Pakhtunkhwa: https://t.co/tBZvgk6Enh

#SehatCard #Healthcare #MedicalCoverage #MedicalCare https://t.co/2CE6fUDYSD"
422,"10 lac on Sehat card per person to getting killed in flour distribution lanes, we’ve come a long way. 

Thank you Handlers, and PDM supporters, especially noonies."
423,"پنجاب کے مستقل رہائشی ہونے کی صورت میں آپ کا شناختی کارڈ ہی آپ کا صحت کارڈ ہے۔ لہذا صحت کارڈ سے مستفید ہونے کے لیے شناختی کارڈ (18 سال سے کم عمر افراد کا ب فارم) لازمی بنوائیں۔ 

@PSHDept @SHCMEHealth @PHC_Punjab @NadraPak 

#phimcpk #SehatCard https://t.co/x0Pnklv7te"
424,"List of empaneled hospitals of ""Sehat Card"" in Gujranwala Division.

#phimcpk #SehatCard #healthcards #punjab #Gujranwala  #gujrat  #MandiBahauddin   #Sialkot #Narowal #Hafizabad https://t.co/HjyRFUe23z"
425,@NidaKirmani and then there were people who criticized the SEHAT card initiative by PTI
426,@WorthOfTruth1 @Aadiiroy2 Dkh ankhy khol ly tery lye zyda behtar hay mat jahalat m Zindaagi guzar Imran Khan wo hay jis nay 1992 main Pakistan ko world cup dya Imran Khan wo hay jis nay apni maa k name par hospital banaye Imran Khan wo hay jis nay Sehat card dya usny London m property nh banai ⬇️
427,"@NidaKirmani Try sehat insaf card. It's a God sent for masses. 
Of course it may disappear with the extension in current corrupt rule. 
#Pakistan_demands_Elections"
428,"We hope this Pakistan day brings nothing but progress and glory for our country and nation. 

#PakistanZindabad #Pakistan #PakistanDay #YaumePakistan #يوم_پاکستان #sehatcard #Lahore #punjab #Rawalpindi #faisalabad #multan #dgkhan #sahiwal #Bahawalpur #Gujranwala #sargodha https://t.co/ysbWpuMM7M"
429,"@Asifjarral555 @usmanilyasskp @MaryamNSharif Sehat card say
Muft ata tak ka safar"
430,@ZynabPTI sehat Card
431,"10 lac on Sehat card per person to getting killed in flour distribution lanes, we’ve come a long way. 

Thank you PDM supporters, especially noonies."
432,@ZeshanMalick @DrRozeena Tum nee Sabat Kar dia tum jahil patwaran ho yeh hai kachra pakistan ka Jiss ko saaf karna hai ghareeb ka sehat Card band langar khana band iss hakumat ka karnama hai baysharm aurat
433,@falakjavaidkhan Aur sunao Na shukry awaam maza araha hai... Woh bhi kia din thay jab Ghar beth k hi message py 10 laakh ka sehat card le letay thay aur phr usi shehzady Imran ko Gaalian bhi baktay thay...
434,gonna bring this card setiap puasa biar inget kalau kita semua harus berakal sehat GOODBYE MY CEGIL PHASE!!!! https://t.co/x28OkOLb82
435,@Naveedrahman15R @HassanAli_PMLN @MaryamNSharif @Marriyum_A @TararAttaullah @CMShehbaz @HamzaSS @BSWarraich @ZeshanMalick @SaniaaAshiq @SaimaFarooq Sehat card k liay paisay chhoray hain apk nashai ne khazanay main۔۔
436,"Masha Allah sehat card ✌
Patwario ki samj ma nhe ayege ye bat"
437,@United_World__ But sehat card to band ho gya tha na???
438,Kuch ase begharat ha Jo bive ko hospital le ja kar pochte han k sehat card chalta ha aor baher a kar kehte han k Imran khan yahodi agent ha .sharm karo begharto itna to kuta bhe bhe malik ka wafa dar hota ha https://t.co/6rDdVXEPE4
